"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerid"
"Xavier Cedeno","Nationals","3.0","0.00","12","3","0","0","0","1","0","0","3",".273",".333",".273",".279","36"
"Zach Phillips","Marlins","1.2","0.00","8","2","0","0","0","1","0","0","1",".286",".429",".333",".352","99"
"John McDonald","Phillies","0.1","0.00","3","2","0","0","0","0","0","0","1",".667",".667",".667",".592","395"
"Chris Narveson","Brewers","2.0","0.00","8","1","0","0","0","1","0","0","0",".143",".250",".143",".197","2141"
"Skip Schumaker","Dodgers","2.0","0.00","12","3","0","0","0","3","0","0","1",".333",".500",".444",".426","3704"
"Alex Burnett","Cubs","1.0","0.00","4","1","0","0","0","0","0","0","0",".250",".250",".250",".222","4065"
"Rafael Dolis","Cubs","1.2","0.00","8","2","2","0","0","0","0","0","0",".250",".250",".375",".270","4185"
"Stolmy Pimentel","Pirates","3.0","0.00","12","1","0","0","0","1","0","0","2",".091",".167",".091",".131","6415"
"Brian Wilson","Dodgers","6.1","0.00","25","5","0","0","0","3","0","0","4",".227",".320",".273",".276","6485"
"Rob Johnson","Cardinals","0.1","0.00","1","0","0","0","0","0","0","0","1",".000",".000",".000",".000","8029"
"Kevin Siegrist","Cardinals","20.2","0.00","79","9","0","0","0","9","0","1","23",".130",".241",".188",".207","8180"
"Mauricio Robles","Phillies","1.0","0.00","7","2","2","0","0","1","0","0","1",".333",".429",".333",".352","8895"
"Zac Rosscup","Cubs","3.1","0.00","16","1","0","0","0","5","1","0","4",".091",".375",".182",".269","9419"
"Steven Ames","Marlins","1.1","0.00","4","0","0","0","0","0","0","0","2",".000",".000",".000",".000","9615"
"Miles Mikolas","Padres","1.2","0.00","7","0","0","0","0","1","0","1","1",".000",".286",".000",".202","9803"
"Jimmy Nelson","Brewers","3.0","0.00","12","1","0","0","0","2","0","0","4",".100",".250",".200",".221","10547"
"Jose Dominguez","Dodgers","2.2","0.00","11","0","0","0","0","2","0","1","3",".000",".273",".000",".191","11571"
"Heath Hembree","Giants","4.2","0.00","20","4","0","0","0","2","0","0","6",".222",".300",".278",".266","11632"
"Nick Vincent","Padres","25.1","0.36","93","14","1","1","0","5","0","2","27",".163",".226",".198",".198","7555"
"Tanner Roark","Nationals","19.1","0.47","73","10","2","1","0","6","0","0","14",".149",".219",".164",".184","8753"
"J.J. Putz","Diamondbacks","18.2","0.48","69","8","1","1","1","8","0","0","23",".131",".232",".197",".206","1795"
